t Tsurf Tprobe theta lnR dTdt dlnR
2.8583333 12.006877 16.166217 0.14965158 7.7514156 -0.12302048 0.00037105697
2.8680556 12.005965 16.159059 0.14964798 7.7516316 -0.12237333 0.00036952121
2.8777778 12.005119 16.151939 0.14964437 7.7518467 -0.12172543 0.00036798335
2.8875 12.004337 16.144856 0.14964077 7.7520609 -0.12107677 0.0003664434
2.8972222 12.00362 16.137812 0.14963716 7.7522742 -0.12042737 0.00036490138
2.9069444 12.002967 16.130806 0.14963357 7.7524867 -0.11977721 0.00036335729
2.9166667 12.00238 16.123837 0.14962997 7.7526982 -0.11912631 0.00033873555
2.9263889 12.001857 16.116906 0.14962638 7.7529088 -0.1184744 0.00020213994
2.9361111 12.001399 16.110014 0.14962279 7.7531185 -0.11779627 5.6270715e-05
2.9458333 12.001005 16.103159 0.1496192 7.7533273 -0.11679439 -9.6313176e-05
2.9555556 12.000677 16.096343 0.14961562 7.7535352 -0.11437184 -0.00025470224
2.9652778 12.000413 16.089565 0.14961204 7.7537422 -0.10859437 -0.00042064566
2.975 12.000214 16.082825 0.14960846 7.7539483 -0.097362394 -0.00059662263
2.9847222 12.00008 16.076123 0.14960489 7.7541535 -0.079072043 -0.00078040847
2.9944444 12.000011 16.06946 0.14960132 7.7543578 -0.052854374 -0.00097286111
3.0041667 22.006423 16.062835 0.14959775 7.7537752 -0.018489472 -0.0011740184
3.0138889 22.071061 16.056251 0.14959418 7.7525727 0.02378813 -0.0013844815
3.0236111 22.204472 16.049795 0.14959062 7.7512993 0.073476586 -0.0016049118
3.0333333 22.40575 16.04405 0.14958711 7.7499739 0.1299704 -0.0018360352
3.0430556 22.673986 16.040519 0.14958374 7.7485587 0.19268527 -0.0020786319
3.0527778 23.008271 16.041308 0.14958064 7.7470797 0.2611308 -0.0023335271
3.0625 23.407697 16.048361 0.14957793 7.7455032 0.33493978 -0.0026015844
3.0722222 23.871355 16.062972 0.14957569 7.7438378 0.41387154 -0.0028836998
3.0819444 24.398338 16.085711 0.14957396 7.7420883 0.497803 -0.0031807973
3.0916667 24.987737 16.11658 0.14957273 7.7402484 0.58671508 -0.0033557481
3.1013889 25.638644 16.155207 0.149572 7.7383117 0.68066336 -0.0035423816
3.1111111 26.35015 16.201027 0.14957173 7.7362714 0.77956821 -0.0037401837
3.1208333 27.121347 16.253432 0.14957188 7.7341201 0.88268311 -0.0039504239
3.1305556 27.951326 16.311873 0.14957244 7.7318495 0.98843075 -0.0041745126
3.1402778 28.83918 16.375909 0.14957337 7.7294515 1.0950021 -0.0044088648
3.15 29.784 16.445229 0.14957466 7.7269171 1.2010527 -0.004657449
3.1597222 30.784877 16.519643 0.14957632 7.7242373 1.3059979 -0.0049204415
3.1694444 31.840904 16.599075 0.14957834 7.7214027 1.4099543 -0.005198921
3.1791667 32.951172 16.683547 0.14958074 7.7184037 1.513546 -0.0054932987
3.1888889 34.114772 16.773163 0.14958354 7.7152306 1.6177104 -0.0058038725
3.1986111 35.330796 16.868102 0.14958674 7.7118734 1.7235268 -0.0061307637
3.2083333 36.598337 16.9686 0.1495904 7.7083219 1.8320805 -0.0064738438
