beta_neg beta_pos gamma_neg gamma_pos
0.35366162 12.741119 0.0007934185 0.023020454
0.35375217 12.790976 0.00079368925 0.023039264
0.35391498 12.797009 0.00079434961 0.023044395
0.35395549 12.806474 0.00079536852 0.023072126
0.35419598 12.875823 0.00079590162 0.023083291
0.35422496 12.878765 0.00079604964 0.023115222
0.35440186 12.880252 0.00079609224 0.023136134
0.35484214 12.881678 0.00079629994 0.023171626
0.35485165 12.883244 0.00079665233 0.023171837
0.3551125 12.89582 0.00079679408 0.02327225
0.35525135 12.897464 0.00079698255 0.023298571
0.35561403 12.924923 0.00079753311 0.023320748
0.35574104 12.937914 0.0007977607 0.023367431
0.35585097 12.939936 0.00079844506 0.023383691
0.35612065 12.9525 0.00079894046 0.023427509
0.3563067 12.988737 0.00079904364 0.023428622
0.35660214 13.00425 0.00079925561 0.023438694
0.35680953 13.008545 0.00080036495 0.023512415
0.3568951 13.024358 0.00080072891 0.023577912
0.35692926 13.029455 0.00080090453 0.023680147
0.3570027 13.057583 0.00080092417 0.0236816
0.3572019 13.067149 0.00080123758 0.02371492
0.35741013 13.078894 0.00080135253 0.023740852
0.3575413 13.123453 0.00080232185 0.02379916
0.35777894 13.126428 0.00080235629 0.023809402
0.3578391 13.131226 0.00080269715 0.023823738
0.3578397 13.15364 0.00080313034 0.023843908
0.35787247 13.165686 0.00080420608 0.023865202
0.35799202 13.173458 0.00080471493 0.023879212
0.35832661 13.180749 0.00080502737 0.023907775
0.35835911 13.205617 0.0008050919 0.023929754
0.35851225 13.21951 0.00080521815 0.023958105
0.35871802 13.228538 0.00080526169 0.023992065
0.35878249 13.230429 0.00080576975 0.024061998
0.35956121 13.268459 0.0008058427 0.024082594
