z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
38.625 22.682521 0.2005584 22.614857 0.20035729 22.537316 0.2001565 22.452714 0.19995623 22.388751 0.19975843 22.833295 0.1994079
38.875 22.678775 0.2007414 22.613264 0.20054066 22.537889 0.20034022 22.455261 0.20014029 22.390603 0.19994263 22.798693 0.19958964
39.125 22.674782 0.20092278 22.61138 0.20072241 22.538134 0.20052234 22.457466 0.20032274 22.392342 0.20012523 22.766207 0.19976998
39.375 22.67055 0.20110257 22.609214 0.20090256 22.538058 0.20070285 22.459337 0.20050359 22.393951 0.20030625 22.735715 0.19994892
39.625 22.666088 0.20128075 22.606775 0.20108112 22.537671 0.20088176 22.460879 0.20068284 22.395417 0.2004857 22.707096 0.20012646
39.875 22.661404 0.20145735 22.60407 0.20125808 22.536981 0.20105909 22.462098 0.20086051 22.396728 0.20066357 22.680238 0.20030258
40.125 22.656505 0.20163236 22.601109 0.20143346 22.535996 0.20123483 22.463003 0.2010366 22.397872 0.20083988 22.655032 0.20047728
40.375 22.6514 0.20180579 22.597898 0.20160726 22.534724 0.20140899 22.463598 0.2012111 22.398841 0.20101461 22.631375 0.20065056
40.625 22.646096 0.20197765 22.594447 0.20177948 22.533174 0.20158157 22.463892 0.20138403 22.399627 0.20118779 22.60917 0.20082241
40.875 22.640601 0.20214793 22.590763 0.20195013 22.531353 0.20175258 22.46389 0.2015554 22.400223 0.2013594 22.588323 0.20099283
41.125 22.634921 0.20231665 22.586853 0.20211922 22.529268 0.20192203 22.463599 0.20172519 22.400624 0.20152946 22.568745 0.20116181
41.375 22.629065 0.2024838 22.582724 0.20228674 22.526928 0.20208991 22.463027 0.20189342 22.400825 0.20169796 22.550353 0.20132935
41.625 22.623039 0.20264939 22.578385 0.20245269 22.52434 0.20225623 22.462179 0.20206009 22.400824 0.20186491 22.533066 0.20149543
41.875 22.616849 0.20281342 22.573842 0.20261709 22.521511 0.20242098 22.461064 0.2022252 22.400617 0.2020303 22.51681 0.20166007
42.125 22.610503 0.20297589 22.569101 0.20277992 22.518448 0.20258418 22.459686 0.20238875 22.400203 0.20219414 22.501511 0.20182324
42.375 22.604006 0.20313681 22.564171 0.2029412 22.515158 0.20274582 22.458053 0.20255074 22.39958 0.20235643 22.487104 0.20198495
42.625 22.597365 0.20329617 22.559056 0.20310093 22.511648 0.20290591 22.456171 0.20271118 22.398749 0.20251717 22.473522 0.20214519
42.875 22.590586 0.20345397 22.553765 0.20325909 22.507925 0.20306443 22.454047 0.20287006 22.397708 0.20267636 22.460706 0.20230396
43.125 22.583676 0.20361021 22.548303 0.2034157 22.503995 0.2032214 22.451686 0.20302738 22.39646 0.20283399 22.448599 0.20246124
43.375 22.576639 0.2037649 22.542676 0.20357075 22.499865 0.20337681 22.449097 0.20318314 22.395004 0.20299007 22.437147 0.20261703
43.625 22.569481 0.20391803 22.53689 0.20372424 22.495541 0.20353066 22.446283 0.20333734 22.393343 0.20314459 22.426298 0.20277134
43.875 22.562208 0.2040696 22.530951 0.20387617 22.49103 0.20368294 22.443252 0.20348998 22.391477 0.20329754 22.416005 0.20292414
44.125 22.554825 0.2042196 22.524865 0.20402653 22.486336 0.20383366 22.44001 0.20364105 22.38941 0.20344894 22.406222 0.20307543
44.375 22.547337 0.20436803 22.518638 0.20417532 22.481467 0.20398281 22.436563 0.20379055 22.387144 0.20359877 22.396908 0.20322521
44.625 22.539749 0.2045149 22.512274 0.20432254 22.476428 0.20413039 22.432915 0.20393848 22.384681 0.20374702 22.388023 0.20337346
44.875 22.532065 0.20466019 22.505779 0.20446819 22.471224 0.20427639 22.429074 0.20408483 22.382025 0.2038937 22.379528 0.20352018
45.125 22.524292 0.2048039 22.499158 0.20461225 22.465861 0.20442081 22.425045 0.2042296 22.379178 0.2040388 22.37139 0.20366537
45.375 22.516432 0.20494602 22.492416 0.20475473 22.460344 0.20456363 22.420833 0.20437278 22.376144 0.20418231 22.363576 0.203809
45.625 22.508491 0.20508655 22.485559 0.20489561 22.45468 0.20470487 22.416443 0.20451436 22.372927 0.20432422 22.356054 0.20395108
45.875 22.500472 0.20522548 22.47859 0.20503489 22.448871 0.2048445 22.411882 0.20465434 22.369529 0.20446454 22.348796 0.20409159
46.125 22.49238 0.2053628 22.471514 0.20517257 22.442925 0.20498253 22.407154 0.20479271 22.365954 0.20460324 22.341776 0.20423052
46.375 22.484218 0.20549851 22.464336 0.20530862 22.436845 0.20511893 22.402264 0.20492946 22.362207 0.20474032 22.334969 0.20436786
46.625 22.475991 0.20563259 22.457059 0.20544306 22.430637 0.20525371 22.397218 0.20506458 22.358291 0.20487578 22.328351 0.2045036
46.875 22.467702 0.20576504 22.449689 0.20557585 22.424304 0.20538685 22.39202 0.20519807 22.35421 0.2050096 22.321901 0.20463773
47.125 22.459354 0.20589585 22.442229 0.205707 22.417852 0.20551835 22.386676 0.20532991 22.349968 0.20514176 22.315598 0.20477023
47.375 22.450951 0.206025 22.434683 0.2058365 22.411284 0.20564818 22.381189 0.20546008 22.345568 0.20527227 22.309426 0.2049011
47.625 22.442497 0.20615248 22.427055 0.20596432 22.404606 0.20577635 22.375565 0.20558859 22.341015 0.20540111 22.303365 0.20503031
47.875 22.433993 0.20627828 22.419349 0.20609046 22.397821 0.20590283 22.369807 0.20571541 22.336313 0.20552826 22.297401 0.20515785
48.125 22.425444 0.20640239 22.411568 0.20621491 22.390933 0.20602762 22.363922 0.20584053 22.331465 0.20565371 22.291518 0.2052837
48.375 22.416853 0.20652479 22.403715 0.20633765 22.383946 0.20615069 22.357912 0.20596394 22.326476 0.20577745 22.285704 0.20540786
48.625 22.408221 0.20664547 22.395794 0.20645866 22.376865 0.20627204 22.351781 0.20608562 22.321349 0.20589945 22.279946 0.2055303
