canopy duty lolp
0.195897 0.220513 0
0.195897 0.244872 0
0.195897 0.269231 0
0.195897 0.29359 0
0.195897 0.317949 0
0.195897 0.342308 0
0.195897 0.366667 0
0.195897 0.391026 0
0.195897 0.415385 0
0.195897 0.439744 0
0.195897 0.464103 0
0.195897 0.488462 0
0.195897 0.512821 0
0.195897 0.537179 0
0.195897 0.561538 0
0.195897 0.585897 0
0.195897 0.610256 0
0.195897 0.634615 0
0.195897 0.658974 0
0.195897 0.683333 0
0.195897 0.707692 0
0.195897 0.732051 0
0.195897 0.75641 0
0.195897 0.780769 0
0.195897 0.805128 0
0.195897 0.829487 0
0.195897 0.853846 0
0.195897 0.878205 0
0.195897 0.902564 0
0.195897 0.926923 0
0.195897 0.951282 0
0.195897 0.975641 0
0.195897 1 0

0.203333 0.05 0
0.203333 0.074359 0
0.203333 0.0987179 0
0.203333 0.123077 0
0.203333 0.147436 0
0.203333 0.171795 0
0.203333 0.196154 0
0.203333 0.220513 0
0.203333 0.244872 0
0.203333 0.269231 0
0.203333 0.29359 0
0.203333 0.317949 0
0.203333 0.342308 0
0.203333 0.366667 0
0.203333 0.391026 0
0.203333 0.415385 0
0.203333 0.439744 0
0.203333 0.464103 0
0.203333 0.488462 0
0.203333 0.512821 0
0.203333 0.537179 0
0.203333 0.561538 0
0.203333 0.585897 0
0.203333 0.610256 0
0.203333 0.634615 0
0.203333 0.658974 0
